CODICE,CODICE,CODICE,CODICE
DIS-LCD-16X2-2-CPL ,DISPLAY DP4 16X2 COMPLETO DI SCHEDA INTERFACCIA,ELETTRONICA,75
DP18-KIT-04 ,KIT MOTORE ASSEMBLATO PER BLOCCO SPORTELLO RITIRO PRODOTTI,ELETTRONICA,85
MH565,SCHEDA DRIVER PER DP30,ELETTRONICA,70
MH572,SCHEDA PREZZI DP30,ELETTRONICA,48
SCH-USD-16GB,MICRO SD CLASSE 10 16GB,ELETTRONICA,15
INT-24,Microinterruttore AM51613C53N - FINE CORSA GHIGLIOTTINA DP60,ELETTRONICA,
MTR-07,Motore SPORTELLO RITIRO PRODOTTO DP60-18-16-8 12Volt non assemblato,ELETTRONICA,45
INT-17,INTERRUTTORE TAMPER,ELETTRONICA,3
DP60-KIT-15,Led porta DP60 - un pezzo - STECCA BIANCA ,ELETTRONICA,25
VENT-TG-117215,VENTOLA AGGIUNTIVA PER DP60,ELETTRONICA,
TAST-AV-001,TASTIERA ANTIVANDALO DP30,ELETTRONICA,65
DP60-KIT-10,KIT TILT PER DP60,ELETTRONICA,18
VENT-TG-TAS18B,Ventola tangenziale per DP30,ELETTRONICA,40
RE-T9AP5D52-12,Relay per ventola tangenziale DP30,ELETTRONICA,
DP60-KIT-16,KIT VENTOLA CONDENSATORE DP60,ELETTRONICA,85
MH615,SCHEDA PREZZI DP40,ELETTRONICA,75
MH576,SCHEDA PREZZI DP60,ELETTRONICA,60
BUZ07-CL,SIRENA PER DISTRIBUTORE CABLATA,ELETTRONICA,10
KIT-RGB-PORTA,LED MULTI COLOR PER DP40  ,ELETTRONICA,35
KIT-RGB-PORTA,LED MULTI COLOR PER DP60,ELETTRONICA,35
KIT-RGB-RITP,LED MULTICOLOR PER RITIRO PRODOTTO DP60,ELETTRONICA,35
STR-LED-CTRL,CONTROLLER LED MULTI,ELETTRONICA,
STR-LED-10,LED BIANCHI (RIMORINI) LUNGHI 80CM,ELETTRONICA,18
STR-LED-07,Led illuminazione cella DP60,ELETTRONICA,22
CR-002,LETTORE DI ETA' AGE300 (VOLPI),ELETTRONICA,
MON-011,"MONITOR CON TOUCH 15,6"" KF",ELETTRONICA,700
ALIM-014,ALIM. 24V 150W NUOVI ALIMENTATORI DP40/60,ELETTRONICA,60
DP30-KIT-04,KIT LED TASTIERA PER DP30 E DP40,ELETTRONICA,
003-000163,GUARNIZIONE A PALLONCINO ADESIVA PER DP60 E DP18 TOUCH,GUARNIZIONI,
MOUSSE-10X3,Guarnizione mousse adesiva 10x3 mt 10 a rotolo,GUARNIZIONI,
GUARN-001,Guarnizione armata 001.001999 guarn-0001 PER DP18 E DP10 (si mette sulla Z del mobile),GUARNIZIONI,
001-001190,GUARNIZIONE ARMATA PER IL SUPPORTO VETRO DP60 E DP40,GUARNIZIONI,
2-00-0114-00,GETT. P10 EVO PARALLELA PER DP16,PERIFERICHE,127
GETT-P10-CCTALK-4K,GETT. P10 CCTALK PER DP18 E PAYPOINT 4K,PERIFERICHE,127
GETT-P10-CCTALK,GETT. P10 CCTALK PER DP18 E PAYPOINT,PERIFERICHE,127
" 	MD-MH446-A-SD5 ",MOTOR DISPENSER SD5 PARALLELO (DP16),PERIFERICHE,30
MD-MH538-CCT-A-SD5,MOTOR DISPENSER SD5 CCTALK (DP18/10),PERIFERICHE,43
2-00-0051-00-U,LETTORE BANCONOTE V7 RIGENERATO,PERIFERICHE,290
2-00-0051-00,LETTORE BANCONOTE V7 NUOVO,PERIFERICHE,390
RB6U122,RENDI RESTO HOPPER DP14-7-4 PAYTEC - RIGENERATO,PERIFERICHE,92
2-00-0115-00-CCTALK,HOPPER RENDI RESTO MKII CCTALK,PERIFERICHE,127
2-02-0044-00,STAMPANTE TG02-H 58MM DP18-16-10-8-4 MICROHARD,PERIFERICHE,180
2-02-0033-00-U,STAMPANTE TG02 35MM DP14-7-4 PAYTEC - RIGENERATA,PERIFERICHE,130
2-00-0053-00,GETT. EMP890 WH DP14-7-4 PAYTEC,PERIFERICHE,185
GETT-P10-F,GETT. P.10 EVOLUTION DP10 PARALLELA PER DP10,PERIFERICHE,127
2-00-0129-09,RENDI RESTO COINCO 6 TUBI DP60,PERIFERICHE,450
2-02-0042-00,LETTORE BANCONOTE XBA,PERIFERICHE,550
2-02-0042-00-U,LETTORE BANCONOTE XBA - RIGENERATO,PERIFERICHE,390
2-00-0117-00,MOTOR DISPENSER MD1112 CCTALK DP14-7-4 PAYTEC,PERIFERICHE,43
XS-01-ASS,SPINTORE ASSEMBLATO DP60,PERIFERICHE,60
946BT150100200-U,Lettore Ibrido IUR250 - RIGENERATO,PERIFERICHE,240
946BT150100200,Lettore Ibrido IUR250,PERIFERICHE,400
946BT140300700-U,Pin Pad IUP250,PERIFERICHE,400
946BT140300700,Pin Pad IUP250,PERIFERICHE,700
2-00-0129-09-U,RENDI RESTO COINCO 6 TUBI DP60 - RIGENERATA,PERIFERICHE,300
3025752.,KIT RASPBERRY DP18,PERIFERICHE,90
XS-02-ASS,SPINTORE ASSEMBLATO DP30,PERIFERICHE,40
2-00-0125-00,RENDI RESTO NRI 2x2€ - 2x1€ - 2x0,5€,PERIFERICHE,450
2-00-0123-00 (non usare),RENDI RESTO MEI 5 TUBI CONFIG. DAC 1x2€ 2x1€ 1x0,50€ 1x0,10€,PERIFERICHE,530
DP60-KIT-11-U,gruppo frigo completo di termostato - RIGENERATO,PERIFERICHE,750
2-02-0046-01,Stampante BETA2, RS232, PAY-PFI-4052-00, portarot.posteriore,PERIFERICHE,180
TUBO COINCO,Tubo di ricambio per rendi resto coinco,PERIFERICHE,15
CASSETTA COINCO,Cassetta completa di tubi Coinco ,PERIFERICHE,85
3025752*,KIT RASPBERRY DP8,PERIFERICHE,
2-00-0141-00,NRI TABACCHI,PERIFERICHE,
2-00-0123-00-1,RENDI RESTO MEI 5 TUBI CONFIG. BC (TABACCHI),PERIFERICHE,
DP60-KIT-16,KIT VENTOLA FRIGO CONDENSATORE DP60,PERIFERICHE,85
2-00-0123-01,RENDI RESTO MEI - 2x2€ 2x1€ 1x0,50€ (X FARMACIA),PERIFERICHE,530
2-02-0042-02,Stacker 200 banconote XBA,PERIFERICHE,72
2-01-0097-04 ,X5 Dynamic PayOut new c/cinghia standard e senza cinch,PERIFERICHE,190
DP60-KIT-20,KIT FRIGO DP60 MODELLO MTH,PERIFERICHE,750
2-00-0137-00,Termostato LAE,PERIFERICHE,140
DP40-KIT-02,GRUPPO FRIGO DP40 CON R134,PERIFERICHE,
DP60-KIT-20,GRUPPO FRIGO COMPLETO DI TERMOSTATO MTH,PERIFERICHE,
LB-001,Lettore SA7,PERIFERICHE,400
MH626-CT2-Y,MOTOR DISPENSER SD5 CCTALK PER DS20,PERIFERICHE,
GETT-RR-GR2,GETT. GRYPHON PER FARMACIA,PERIFERICHE,530
GETT-RR-GR1,GETT. GRYPHON PER TABACC,PERIFERICHE,530
CR-003,LETTORE ETA' AGE 300 - VOLPI - PER TABACCHI DS50/60,PERIFERICHE,
MD-MH538-CCT-A-SD2,MOTOR DISPENSER SD5 CCTALK - FACCCHINO DRITTO PER SIGARETTE NORMALI,PERIFERICHE,
2-02-0037-01,Stampante Sanei con taglierina,PERIFERICHE,220
MD-MH538-CCT-A-SD5,MOTOR DISPENSER SD5 CCTALK - FACCCHINO DRITTO PER 100'S,PERIFERICHE,
DT50-KIT-01,KIT LETTORE DI IMPRONTA SU DS50 E DS60,PERIFERICHE,240
2-00-0137-01,TERMOSTATO EMMERSON XR70CX,PERIFERICHE,150
RB10007,Cablaggio motori DP14 lato mobile,CABLAGGI,30
RB10070,Cablaggio motori DP7 lato mobile,CABLAGGI,25
MCV422,CAVO CAN BUS 434-465 - DP16,CABLAGGI,10
MCV427,CAVO CAN BUS 430-465 - DP16,CABLAGGI,10
MCV431,CABLAGGIO HOPPER - DP16,CABLAGGI,7
MCV416,CABLAGGIO MOTORI - DP16,CABLAGGI,57
MCV421,CABLAGGIO GETTONIERA DP16-DP8,CABLAGGI,8,5
MCV692,CABLAGGIO CCTALK GETTONIERA DP18 TASTI ,CABLAGGI,3,5
MCV669,KIT CABLAGGIO MOTORI DP18 E DP18 TOUCH,CABLAGGI,32
MCV695,KIT CABLAGGIO TASTIERE DP18,CABLAGGI,25
MCV691,CABLAGGIO HOPPER 2 DP18 E DP18 TOUCH,CABLAGGI,
MCV690,CABLAGGIO HOPPER 1 DP18 E DP18 TOUCH,CABLAGGI,3,5
MCV744,CABLAGGIO CCTALK MH430 - MH541 DP18 TASTI,CABLAGGI,5
MCV632,DP60 CABLAGGIO CASS. DP60 ,CABLAGGI,4
MCV625,DP60 CABLAGGIO SCHEDA DRIVER -> MH529,CABLAGGI,8
MCV625,DP60 CABLAGGIO MH529 -> MOTORE GHIGLIOTTINA,CABLAGGI,8
MCV627,DP60 CABLAGGIO FINE CORSA POSTERIORE,CABLAGGI,3,5
MCV628,DP60 CABLAGGIO FINE CORSA ANTERIORE,CABLAGGI,3,5
MCV712,CABLAGGIO CCTALK GETTONIERA DP18 TOUCH,CABLAGGI,4
MCV789,CALBLAGGIO PULSE PER V7 - DP10,CABLAGGI,9
MCV592-1,CABLAGGIO BARRIERA OTTICA MH521,CABLAGGI,
MCV592-2,CABLAGGIO TRA RICEVENTE E TRASMITTENTE,CABLAGGI,
MCV459 ,CAVO PROG. MH430,CABLAGGI,
MCV381,CAVO PROG. MH521-522,CABLAGGI,
MCV526 ,CABLAGGIO MH499/MH534,CABLAGGI,
MCV670,Cabl. dp18 stampante rs232,CABLAGGI,
MCV671,Cabl. dp18 stampante power per stampante TG02,CABLAGGI,
MCV952,CAB. PROGRAMMAZIONE SCHEDE MH572,CABLAGGI,
MCV877,Cavo cctalk mh430 - mh528 - DP30,CABLAGGI,
MCV668,Cavo DP18 display lcd 240x128,CABLAGGI,5
MCV966 ,Cablaggio programmazione schede led prezzi DP60,CABLAGGI,
MCV526 ,Cavo programmazione MH534,CABLAGGI,
MCV635,Cavo Spintori,CABLAGGI,
MCV790,CAVO GETTONIERA P.10,CABLAGGI,
MCV698,CABLAGGIO ALIM. MONITOR TOUCH,CABLAGGI,
